item_number,name,year,theme,subtheme,pieces,minifigures,image_url,gbp_msrp,usd_msrp,cad_msrp,eur_msrp,packaging,availability
4588,Off-Road Race Track,2002,Racers,Drome Racers,366,NA,http://images.brickset.com/sets/images/4588-1.jpg,39.99,50,NA,NA,Box,Retail
4589,RC Nitro Flash,2002,Racers,Drome Racers,136,1,http://images.brickset.com/sets/images/4589-1.jpg,49.99,70,NA,NA,Box,Retail
4590,Flash Turbo,2002,Racers,Drome Racers,28,NA,http://images.brickset.com/sets/images/4590-1.jpg,2.99,4,NA,NA,Box,Retail
4591,Star Strike,2002,Racers,Drome Racers,28,NA,http://images.brickset.com/sets/images/4591-1.jpg,2.99,4,NA,NA,Box,Retail
4592,Red Monster,2002,Racers,Drome Racers,25,NA,http://images.brickset.com/sets/images/4592-1.jpg,2.99,4,NA,NA,Box,Retail
4593,Zero Hurricane and Red Blizzard,2002,Racers,Drome Racers,74,NA,http://images.brickset.com/sets/images/4593-1.jpg,4.99,7,NA,NA,Box,Retail
4594,Maverick Sprinter and Hot Arrow,2002,Racers,Drome Racers,66,NA,http://images.brickset.com/sets/images/4594-1.jpg,4.99,7,NA,NA,Box,Retail
4595,Zero Tornado & Hot Rock,2002,Racers,Drome Racers,71,NA,http://images.brickset.com/sets/images/4595-1.jpg,7.99,10,NA,NA,Box,Retail
4596,Storming Cobra,2002,Racers,Drome Racers,75,1,http://images.brickset.com/sets/images/4596-1.jpg,14.99,10,NA,NA,Box,Retail
4612,Super Glider,2002,Jack Stone,,7,1,http://images.brickset.com/sets/images/4612-1.jpg,1.99,4,NA,NA,Not specified,Not specified
4613,Turbo Chopper,2002,Jack Stone,,13,1,http://images.brickset.com/sets/images/4613-1.jpg,1.99,4,NA,NA,Not specified,Not specified
4614,Ultralight Flyer,2002,Jack Stone,,12,1,http://images.brickset.com/sets/images/4614-1.jpg,1.99,4,NA,NA,Not specified,Not specified
4615,Red Recon Flyer,2002,Jack Stone,,20,1,http://images.brickset.com/sets/images/4615-1.jpg,2.99,4,NA,NA,Not specified,Not specified
4616,Rapid Response Tanker,2002,Jack Stone,,34,1,http://images.brickset.com/sets/images/4616-1.jpg,5.99,7,NA,NA,Not specified,Not specified
4617,Dual Turbo Prop,2002,Jack Stone,,28,2,http://images.brickset.com/sets/images/4617-1.jpg,9.99,10,NA,NA,Not specified,Not specified
4618,Twin Rotor Cargo,2002,Jack Stone,,41,2,http://images.brickset.com/sets/images/4618-1.jpg,14.99,20,NA,NA,Not specified,Not specified
4619,AIR Patrol Jet,2002,Jack Stone,,63,2,http://images.brickset.com/sets/images/4619-1.jpg,24.99,30,NA,NA,Not specified,Not specified
4620,AIR Operations HQ,2002,Jack Stone,,170,5,http://images.brickset.com/sets/images/4620-1.jpg,54.99,70,NA,NA,Not specified,Not specified
4621,Red Flash Station,2002,Jack Stone,,32,2,http://images.brickset.com/sets/images/4621-1.jpg,9.99,10,NA,NA,Not specified,Not specified
4622,ResQ Digger,2002,Jack Stone,,65,2,http://images.brickset.com/sets/images/4622-1.jpg,14.99,20,NA,NA,Not specified,Not specified
4711,Flying Lesson,2002,Harry Potter,Philospher's Stone,23,2,http://images.brickset.com/sets/images/4711-1.jpg,2.99,4,NA,NA,Box,Retail
4712,Troll on the Loose,2002,Harry Potter,Philospher's Stone,71,2,http://images.brickset.com/sets/images/4712-1.jpg,8.99,10,NA,NA,Box,Retail
4714,Gringott's bank,2002,Harry Potter,Philospher's Stone,250,4,http://images.brickset.com/sets/images/4714-1.jpg,24.99,30,NA,NA,Box,Retail
4726,Quidditch Practice,2002,Harry Potter,Chamber of Secrets,128,3,http://images.brickset.com/sets/images/4726-1.jpg,11.99,13,NA,NA,Box,Retail
